x_ppm,x_Hz,spectrum,normalized_spectrum
14.465786303538453,4341.905759007066,7.198205796130161e-05,0.00028792823184520646
14.465175260712991,4341.722354503004,7.184216769327147e-05,0.00028736867077308587
14.46456421788753,4341.5389499989415,7.170957604792116e-05,0.0002868383041916846
14.463953175062064,4341.355545494878,7.158489124380734e-05,0.00028633956497522934
14.463342132236603,4341.172140990816,7.147237081082657e-05,0.00028588948324330626
14.462731089411141,4340.988736486754,7.137262296753552e-05,0.00028549049187014206
14.46212004658568,4340.805331982691,7.128868880671743e-05,0.00028515475522686973
14.461509003760218,4340.621927478629,7.121752723558906e-05,0.0002848701089423562
14.460897960934753,4340.438522974566,7.115853003559373e-05,0.0002846341201423749
14.460286918109292,4340.2551184705035,7.110926433250485e-05,0.0002844370573300194
14.45967587528383,4340.071713966441,7.106364794075589e-05,0.00028425459176302357
